Material,Application,TML_Pct,WVR_Pct,CVCM_Pct,RML_Pct,Year,SpaceX_Classification,Data_Ref,Manufacturer,Time_1,Temp_1,ATM_1,Time_2,Temp_2,ATM_2,Time_3,Temp_3,ATM_3,Time_4,Temp_4,ATM_4,Raw_Application
AP-134 SILANE PRIMER,Paint,9.23,0,0.00,9.23,2009,Rationale Code B (up to 0.25 sq-in),GSFC31420,LOR,2H,25.0,RH,,,,,,,,,,PAINT
"AP134 PRIMER, A074 CLEAR POLYURETHANE, A170 FLATTENING AGENT",Coating,1.92,0,0.04,1.92,2013,Rationale Code A (up to 2 sq-in),GSFC33934,HCC,24H,65.0,AIR,,,,,,,,,,COATING
AP8004 FAST CURE EPOXY ACU-PAK PRE-MIX,Adhesive,2.91,0,0.22,2.91,1975,Rationale Code B (up to 0.25 sq-in),GSFC07079,ALR,24H,25.0,AIR,,,,,,,,,,ADHESIVE
AP8005 FAST CURE EPOXY ACU-PAK PRE MIX,Adhesive,3.90,0,0.21,3.90,1975,Rationale Code B (up to 0.25 sq-in),GSFC07130,ALR,24H,25.0,AIR,,,,,,,,,,ADHESIVE
APCO 1260 A/B AS 1/1 BW,Conformal Coat,6.46,,0.02,6.46,1971,Rationale Code B (up to 0.25 sq-in),GSFC02677,APP,24H,25.0,AIR,2H,71.0,AIR,,,,,,,CONF COAT
APCO 1266 A/B AS 1/1 BW POLYURETHANE,Conformal Coat,18.35,,0.02,18.35,1969,Rationale Code B (up to 0.25 sq-in),GSFC01207,APP,90M,80.0,AIR,,,,,,,,,,CONF COAT
APCO 1266 A/B AS 1/1 BW POLYURETHANE CYCLED,Paint,17.06,,0.04,17.06,1969,Rationale Code B (up to 0.25 sq-in),GSFC01420,APP,90M,80.0,AIR,24H,-40.0,E-5,24H,65.0,E-6,,,,PAINT
APCO 5290/2180/0300 AS 79/17/4 BW BLACK,Adhesive,1.58,0,0.02,1.58,1987,Rationale Code A (up to 2 sq-in),GSFC16307,APP,30D,25.0,AIR,,,,,,,,,,ADHESIVE
APCO 5313 A/B AS 100/8 BW GREEN EPOXY,Adhesive,1.80,0,0.05,1.80,1979,Rationale Code A (up to 2 sq-in),GSFC10553,APP,1H,66.0,AIR,,,,,,,,,,ADHESIVE
APCO 5393 A/B AS 25/4 BW BROWN EPOXY,Adhesive,1.12,0,0.01,1.12,1988,Rationale Code A (up to 2 sq-in),GSFC17378,APP,1.5H,135.0,AIR,24H,149.0,AIR,,,,,,,ADHESIVE
APCO 5393 A/B AS 25/4 BW BROWN EPOXY,Adhesive,1.12,0,0.01,1.12,1988,Rationale Code A (up to 2 sq-in),GSFC17380,APP,1.5H,135.0,AIR,24H,149.0,AIR,48H,49.0,E-5,,,,ADHESIVE
"APIEZON AP100, UHV HYDROCARBON LUBRICATING GREASE",Grease,0.14,0,0.05,0.14,2007,Pass,GSFC30358,APZ,,,,,,,,,,,,,GREASE
APIEZON C OIL 5% LEAD NAPTHANATE,Lubricant,53.66,0,30.93,53.66,1994,Rationale Code B (up to 0.25 sq-in),GSFC21741,BID,,,,,,,,,,,,,LUBRICANT
APIEZON C OIL VACUUM DEGASSED,Lubricant,81.19,0,47.47,81.19,1981,Rationale Code B (up to 0.25 sq-in),GSFC11800,BID,1H,65.0,E-2,,,,,,,,,,LUBRICANT
APIEZON H HYDROCARBON GREASE,Grease,0.85,0,0.34,0.85,1991,Rationale Code B (up to 0.25 sq-in),GSFC20145,BID,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE,Grease,0.25,,0.02,0.25,1973,Pass,GSFC04696,BID,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT # 018038,Grease,0.48,0,0.11,0.48,2008,Rationale Code B (up to 0.25 sq-in),GSFC30826,APZ,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT # 018057,Grease,0.66,0,0.13,0.66,2008,Rationale Code B (up to 0.25 sq-in),GSFC30928,APZ,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT # 018181 17-10-08,Grease,0.52,0,0.12,0.52,2009,Rationale Code B (up to 0.25 sq-in),GSFC31645,APZ,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT # 17211922-1,Grease,1.35,0,0.50,1.35,1996,Rationale Code B (up to 0.25 sq-in),GSFC23826,APP,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT # 17211922-1,Grease,3.79,0,2.59,3.79,1996,Rationale Code B (up to 0.25 sq-in),GSFC23829,APP,1D,135.0,E-1,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT #016797,Grease,0.78,0,0.12,0.78,2008,Rationale Code B (up to 0.25 sq-in),GSFC30652,APZ,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT #016941,Grease,0.56,0,0.09,0.56,2008,Pass,GSFC30676,APZ,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT #17012,Grease,0.63,0,0.11,0.63,2008,Rationale Code B (up to 0.25 sq-in),GSFC30655,APZ,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT 010195,Grease,0.82,0,0.42,0.82,1992,Rationale Code B (up to 0.25 sq-in),GSFC20495,BID,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT 810317,Grease,1.21,0,0.54,1.21,1993,Rationale Code B (up to 0.25 sq-in),GSFC21127,BID,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE LOT 860718,Grease,1.30,0,0.65,1.30,1992,Rationale Code B (up to 0.25 sq-in),GSFC20261,BID,,,,,,,,,,,,,GREASE
APIEZON H HYDROCARBON GREASE MOLA LASER CAVITY,Grease,12.59,0,7.32,12.59,1991,Rationale Code B (up to 0.25 sq-in),GSFC20148,BID,,,,,,,,,,,,,GREASE
APIEZON K OIL,Lubricant,1.13,0,0.49,1.13,1987,Rationale Code B (up to 0.25 sq-in),GSFC16745,BID,,,,,,,,,,,,,LUBRICANT
APIEZON L GREASE,Grease,0.04,0,0.01,0.04,1974,Pass,GSFC06320,BID,,,,,,,,,,,,,GREASE
APIEZON L GREASE LOT O10660,Grease,0.07,0,0.03,0.07,1995,Pass,GSFC23026,BID,,,,,,,,,,,,,GREASE
APIEZON L HYDROCARBON GREASE LOT 010100,Grease,0.05,0,0.04,0.05,1992,Pass,GSFC20498,BID,,,,,,,,,,,,,GREASE
APIEZON L HYDROCARBON GREASE LOT 010377,Thermal Grease,0.04,0,0.03,0.04,2000,Pass,GSFC27289,BDI,,,,,,,,,,,,,THERMAL GREASE
APIEZON L HYDROCARBON GREASE LOT 841018,Grease,0.07,0,0.03,0.07,1992,Pass,GSFC20309,BID,,,,,,,,,,,,,GREASE
APIEZON M GREASE VACUUM DEGASSED,Lubricant,0.34,0,0.29,0.34,1981,Rationale Code B (up to 0.25 sq-in),GSFC11803,BID,1H,65.0,E-2,,,,,,,,,,LUBRICANT
APIEZON M HYDROCARBON GREASE,Grease,0.69,0,0.28,0.69,1992,Rationale Code B (up to 0.25 sq-in),GSFC20357,BID,,,,,,,,,,,,,GREASE
APIEZON N (LOT 018012) HYDROCARBON GREASE,Lubricant Grease,100.00,0,0.03,100.00,2008,Rationale Code B (up to 0.25 sq-in),GSFC31105,APZ,,,,,,,,,,,,,LUBRICANT GREASE
APIEZON N - THIS MATERIAL EVAPORATES - DO NOT TEST THIS AGAIN,Grease,,,,,2010,Fail,GSFC32317,APZ,,,,,,,,,,,,,GREASE
APIEZON N GREASE,Grease,0.08,0,0.00,0.08,1974,Pass,GSFC06380,BID,,,,,,,,,,,,,GREASE
APIEZON N GREASE - TML UNK DUE TO CREEP,Grease,0.00,,0.03,0.00,1971,Pass,GSFC02675,BID,,,,,,,,,,,,,GREASE
APIEZON N HYDROCARBON GREASE LOT 010119,Grease,0.06,0,0.05,0.06,1992,Pass,GSFC20501,BID,,,,,,,,,,,,,GREASE
APIEZON N HYDROCARBON GREASE LOT 860808,Grease,1.47,0,0.65,1.47,1992,Rationale Code B (up to 0.25 sq-in),GSFC20264,BID,,,,,,,,,,,,,GREASE
APIEZON T GREASE,Grease,0.93,,0.12,0.93,1974,Rationale Code B (up to 0.25 sq-in),GSFC05717,BID,,,,,,,,,,,,,GREASE
APIEZON T GREASE,Grease,0.76,,0.12,0.76,1974,Rationale Code B (up to 0.25 sq-in),GSFC05813,BID,,,,,,,,,,,,,GREASE
APIEZON W WAX XYLENE SOLUTION/F,Thread Seal,10.15,0,5.31,10.15,1998,Rationale Code B (up to 0.25 sq-in),GSFC25888,BID,,,,,,,,,,,,,THREAD SEAL
APIEZON WAX TYPE W,Thread Seal,6.92,0,3.44,6.92,1998,Rationale Code B (up to 0.25 sq-in),GSFC25891,BID,,,,,,,,,,,,,THREAD SEAL
APLI-TEC 5322,Adhesive,0.19,0,0.02,0.19,2016,Pass,GSFC35769,ATK,15H,65.0,AIR,,,,,,,,,,ADHESIVE
APPLETON CONNECTOR RED SILICONE INSERT,Conn Insul,0.33,0,0.14,0.33,1980,Rationale Code B (up to 0.25 sq-in),GSFC11222,AEL,,,,,,,,,,,,,CONN INSUL
APPLETON CONNECTOR RED/BLACK PHENOLIC FIBERGLASS,Conn Insul,0.24,0,0.00,0.24,1980,Pass,GSFC11219,AEL,,,,,,,,,,,,,CONN INSUL
APPLETON CONNECTOR WHITE FLUOROSILICONE INSERT,Conn Insul,0.24,0,0.09,0.24,1980,Pass,GSFC11216,AEL,,,,,,,,,,,,,CONN INSUL
APPLI-TEC 5010 ONE PART EPOXY,Adhesive,0.51,0,0.00,0.51,2000,Pass,GSFC27496,ZZZ,1H,120.0,AIR,,,,,,,,,,ADHESIVE
APPLI-TEC 5101 2 PART EPXOY (LOW VISCOSITY RT CURE),Adhesive,2.03,0,0.04,2.03,2001,Rationale Code A (up to 2 sq-in),GSFC27568,ATK,1.5H,75.0,AIR,,,,,,,,,,ADHESIVE
APPLI-TEC 5101 2 PART EPXOY (LOW VISCOSITY RT CURE),Adhesive,1.91,0,0.04,1.91,2001,Rationale Code A (up to 2 sq-in),GSFC27571,ATK,,25.0,AIR,,,,,,,,,,ADHESIVE
APPLI-TEC 5200 TWO PART EPOXY,Adhesive,0.19,0,0.00,0.19,2000,Pass,GSFC27493,ZZZ,2H,65.0,AIR,,,,,,,,,,ADHESIVE
APPLI-TEC 6051 ONE PART UV CURED,Adhesive,2.01,0,0.01,2.01,2000,Rationale Code A (up to 2 sq-in),GSFC27490,ZZZ,2OM,120.0,AIR,,,,,,,,,,ADHESIVE
APPLI-TEC 6202 ONE PART UV CURED,Adhesive,0.48,0,0.00,0.48,2000,Pass,GSFC27487,ZZZ,1H,140.0,AIR,,,,,,,,,,ADHESIVE
APPLI-TEC FAST CURE HIGH TEAR URETHANE (PN-ITT-SA-7101-050),Adhesive,18.15,0,10.13,18.15,2004,Rationale Code B (up to 0.25 sq-in),GSFC28711,ATK,7D,25.0,AIR,,,,,,,,,,ADHESIVE
"Appli-Thane 7300, High Thermal Conductivity Urethane",Adhesives,0.12,0,0.03,0.12,2023,Pass,GFC37382,ATK,24H,124.0,1.9x10ø?,4H,72.0,AIR,,,,,,,ADHESIVES
Aptek 2503 A/B (2/1) - E,Adhesives,0.25,0,0.24,0.25,2022,Rationale Code B (up to 0.25 sq-in),GFC37310,APT,24H,125.0,7.2x10ø?,9H,85.0,AIR,,,,,,,ADHESIVES
Aptek 2503 A/B (2/1) - F,Adhesives,0.50,0,0.39,0.50,2022,Rationale Code B (up to 0.25 sq-in),GFC37313,APT,24H,125.0,7.2x10ø?,9H,85.0,AIR,,,,,,,ADHESIVES
Aptek 2503 A/B (2/1) - G,Adhesives,0.63,0,0.30,0.63,2022,Rationale Code B (up to 0.25 sq-in),GFC37316,APT,24H,125.0,7.2x10ø?,9H,85.0,AIR,,,,,,,ADHESIVES
APTEK 2503 A/B AS 2/1 PBW CLEAR URETHANE COATING,Conformal Coat,0.85,0,0.03,0.85,1994,Pass,GSFC21687,APT,16H,65.0,AIR,,,,,,,,,,CONF COAT
APTEK 2503 A/B AS 2/1 PBW CLEAR URETHANE COATING,Conformal Coat,0.51,0,0.03,0.51,1994,Pass,GSFC21689,APT,8H,85.0,AIR,,,,,,,,,,CONF COAT
APTEK 2503 A/B AS 2/1 PBW CLEAR URETHANE COATING,Conformal Coat,1.09,0,0.03,1.09,1995,Rationale Code A (up to 2 sq-in),GSFC22576,APT,16H,60.0,AIR,,,,,,,,,,CONFORMAL COAT
APTEK 2503 A/B AS 2/1 PBW CLEAR URETHANE COATING,Conformal Coat,1.69,0,0.04,1.69,1995,Rationale Code A (up to 2 sq-in),GSFC22579,APT,14H,60.0,AIR,,,,,,,,,,CONFORMAL COAT
APTEK 2503 A/B AS 2/1 PBW CLEAR URETHANE COATING,Conformal Coat,1.14,0,0.03,1.14,1995,Rationale Code A (up to 2 sq-in),GSFC22582,APT,12H,60.0,AIR,,,,,,,,,,CONFORMAL COAT
APTEK 2503 A/B AS 2/1 PBW CLEAR URETHANE COATING,Conformal Coat,1.39,0,0.04,1.39,1995,Rationale Code A (up to 2 sq-in),GSFC22585,APT,10H,60.0,AIR,,,,,,,,,,CONFORMAL COAT
APTEK 2503 A/B AS 2/1 PBW URETHANE COATING,Conformal Coat,1.19,0,0.05,1.19,1994,Rationale Code A (up to 2 sq-in),GSFC22033,APT,1H,25.0,AIR,2H,80.0,AIR,,,,,,,CONF COAT
APTEK 2503 A/B AS 2/1 PBW URETHANE COATING,Conformal Coat,1.90,0,0.17,1.90,1994,Rationale Code B (up to 0.25 sq-in),GSFC22153,APT,7D,25.0,AIR,,,,,,,,,,CONF COAT
APTEK 2503 A/B AS 2/1 PBW URETHANE COATING/F,Conformal Coat,1.03,0,0.02,1.03,1992,Rationale Code A (up to 2 sq-in),GSFC20447,APT,1H,25.0,AIR,6H,85.0,AIR,,,,,,,CONF COAT
APTEK 2503 A/B AS 2/1 PBW URETHANE COATING/F,Conformal Coat,0.95,0,0.03,0.95,1992,Pass,GSFC20595,APT,8H,80.0,AIR,,,,,,,,,,CONF COAT
APTEK 2503RT A/B AS 2/1 PBW CLEAR URETHANE COATING,Conformal Coat,2.42,0,0.11,2.42,1995,Rationale Code B (up to 0.25 sq-in),GSFC22573,APT,7D,25.0,AIR,,,,,,,,,,CONFORMAL COAT
Aptek 2514 A/B/C conformal coating,Conformal Coating,1.93,0,0.03,1.93,2022,Rationale Code A (up to 2 sq-in),GFC37159,APT,24H,125.0,6.9x10ø?,24H,25.0,AIR,,,,,,,CONFORMAL COATING
APTEK 6519 EPOXY FOAM 3:1 PBW A:B,Adhesive,1.89,0,0.00,1.89,2010,Rationale Code A (up to 2 sq-in),GSFC31924,APT,60M,60.0,AIR,,,,,,,,,,ADHESIVE
APTEK 6521 (CURED BY APL/SEI),Adhesive,2.32,0,0.01,2.32,2009,Rationale Code A (up to 2 sq-in),GSFC31693,APT,5D,25.0,AIR,,,,,,,,,,ADHESIVE
APTEK 6521 (CURED BY NASA GSFC POLYMER LABI),Adhesive,2.10,0,0.00,2.10,2009,Rationale Code A (up to 2 sq-in),GSFC31738,APT,5D,25.0,AIR,,,,,,,,,,ADHESIVE
APTEK 6521 DEGASSED (CURED BY APL/TEA),Adhesive,8.10,2,0.02,6.10,2009,Rationale Code B (up to 0.25 sq-in),GSFC31699,APT,5D,25.0,AIR,,,,,,,,,,ADHESIVE
APTEK 6521 NO DEGAS (CURED BY APL/TEA),Adhesive,6.80,2,0.03,4.80,2009,Rationale Code B (up to 0.25 sq-in),GSFC31696,APT,5D,25.0,AIR,,,,,,,,,,ADHESIVE
"APTEK 95504-A/B, electrically conductive potting material",Adhesives,1.92,0,0.59,1.92,2022,Rationale Code B (up to 0.25 sq-in),GFC37051,APT,24H,125.0,7.7x10ø?,30M,150.0,AIR,,,,,,,ADHESIVES
"APTEK DIS-A-PASTE 2000 A/B S 100/5.5 BW URETHANE, WHITE",Coating,0.21,0,0.01,0.21,2005,Pass,GSFC29500,APT,72H,55.0,,,,,,,,,,,COATING
APTEK DIS-A-PASTE 2009 A/B AS 100/5 BW URETHANE,Film Adhesive,0.78,0,0.22,0.78,1995,Rationale Code B (up to 0.25 sq-in),GSFC23104,APT,6H,90.0,AIR,,,,,,,,,,FILM ADHESIVE
APTEK DIS-A-PASTE 2009 A/B AS 100/5 BW URETHANE,Film Adhesive,0.71,0,0.19,0.71,1995,Rationale Code B (up to 0.25 sq-in),GSFC23107,APT,12H,90.0,AIR,,,,,,,,,,FILM ADHESIVE
APTEK DIS-A-PASTE 2009 A/B AS 100/5 BW URETHATNE,Film Adhesive,0.70,0,0.35,0.70,1995,Rationale Code B (up to 0.25 sq-in),GSFC23161,APT,6H,90.0,AIR,,,,,,,,,,FILM ADHESIVE
APTEK DIS-A-PASTE 2009-1 A/B AS 100/5 BW URETHANE,Film Adhesive,0.12,0,0.01,0.12,1995,Pass,GSFC23158,APT,6H,90.0,AIR,14H,97.0,E-1,,,,,,,FILM ADHESIVE
APTEK THERM-PAD 1100 THERMALLY CONDUCTIVE SILICONE,Sheet Material,0.10,0,0.00,0.10,1999,Pass,GSFC26725,APT,7H,125.0,AIR,,,,,,,,,,SHEET MATERIAL
APTEK THERM-PAD 1100 THERMALLY CONDUCTIVE SILICONE,Sheet Material,0.08,0,0.00,0.08,1999,Pass,GSFC26728,APT,7H,145.0,AIR,,,,,,,,,,SHEET MATERIAL
APTEK THERM-PAD 1100 THERMALLY CONDUCTIVE SILICONE,Sheet Material,0.11,0,0.02,0.11,1999,Pass,GSFC26749,APT,,,,,,,,,,,,,SHEET MATERIAL
AQUA COAT PLUS AQUEOUS CONFORMAL COATING,Conformal Coating,13.66,0,0.18,13.66,2013,Rationale Code B (up to 0.25 sq-in),GSFC33874,ETL,24H,20.0,AIR,7D,25.0,AIR,,,,,,,CONFORMAL COATING
AQUA COAT PLUS AQUEOUS CONFORMAL COATING SPRAYABLE FORMULATION,Conformal Coating,12.52,0,0.68,12.52,2013,Rationale Code B (up to 0.25 sq-in),GSFC33877,ETL,2H,20.0,AIR,7D,,AIR,,,,,,,CONFORMAL COATING
AR 559 SILICONE TRANSFER ADHESIVE,Adhesive Film,4.72,0,2.14,4.72,1987,Rationale Code B (up to 0.25 sq-in),GSFC16058,ARI,,,,,,,,,,,,,ADH FILM
AR-1001 A/B AS 1/1 BW EPOXY,Adhesive,2.39,0,0.33,2.39,1984,Rationale Code B (up to 0.25 sq-in),GSFC14295,FOR,14D,25.0,AIR,,,,,,,,,,ADHESIVE
"ARACON ARAMID FIBER BRAID, NICKEL CLAD, 103-009-XXX",EMI Shielding,1.31,0,0.07,1.31,2002,Rationale Code A (up to 2 sq-in),GSFC27916,GLA,,,,,,,,,,,,,EMI SHIELDING
"ARACON ARAMID FIBER BRAID, SILVER CLAD, 103-009-XXX-S",EMI Shielding,1.00,0,0.04,1.00,2002,Pass,GSFC27919,GLA,,,,,,,,,,,,,EMI SHIELDING
"ARACON EMI SHIELDING FABRIC, PN RXS0400E/00-100/0-3700-1",EMI Shielding Fabric,1.06,0,0.01,1.06,2018,Rationale Code A (up to 2 sq-in),GSFC36243,MIX,,,,,,,,,,,,,EMI SHIELDING FABRIC
ARACON KELVAR SINGLE SILVER PLATED MATERIAL,Shielded Braid,1.05,0,0.01,1.05,2018,Rationale Code A (up to 2 sq-in),GSFC36162,CIT,,,,,,,,,,,,,SHIELDED BRAID
ARACON XS 200E METAL PLATED ARAMID FIBER,Absorbant,0.70,0,0.01,0.70,1997,Pass,GSFC24443,DUP,,,,,,,,,,,,,ABSORBANT
ARALDITE 106/HV953U AS 1/1 BW EPOXY,Adhesive,5.18,0,0.03,5.18,1975,Rationale Code B (up to 0.25 sq-in),GSFC06578,CIB,24H,25.0,AIR,,,,,,,,,,ADHESIVE
ARALDITE 2014,Epoxy,0.27,0,0.01,0.27,2011,Pass,GSFC32434,VAN,,,,,,,,,,,,,EPOXY
"ARALDITE 2014 A/B 100/50 EPOXY, DRY GRAY",Adhesive,0.97,0,0.05,0.97,2008,Pass,GSFC30649,CIB,1H,60.0,,,,,,,,,,,ADHESIVE
ARALDITE 2015 A/B AS MA5.4-213/MC08-18 AS 1/4 BV,Adhesive,6.21,0,0.06,6.21,1999,Rationale Code B (up to 0.25 sq-in),GSFC26353,CIB,12H,25.0,AIR,,,,,,,,,,ADHESIVE
ARALDITE 2020,Adhesive,2.17,0,0.10,2.17,2004,Rationale Code A (up to 2 sq-in),GSFC29002,ZZZ,20H,50.0,AIR,,,,,,,,,,ADHESIVE
ARALDITE 502/951 AS 10/1 BW EPOXY,Adhesive,1.88,,0.03,1.88,1971,Rationale Code A (up to 2 sq-in),GSFC03043,CIB,24H,25.0,AIR,,,,,,,,,,ADHESIVE
ARALDITE 502/951/PC-1244 EPOXY,Conformal Coat,2.00,,0.01,2.00,1973,Rationale Code A (up to 2 sq-in),GSFC04778,CIB,1H,25.0,AIR,6H,49.0,AIR,,,,,,,CONF COAT
ARALDITE 508/EPON 828/ARALDITE 951/PC-1244 EPOXY,Adhesive,2.31,,0.42,2.31,1973,Rationale Code B (up to 0.25 sq-in),GSFC04768,CIB,6H,25.0,AIR,16H,49.0,AIR,,,,,,,ADHESIVE
ARALDITE 6004/508/CABOSIL/DP-138/951/PC-1244 EPOXY,Potting,3.74,,0.07,3.74,1973,Rationale Code B (up to 0.25 sq-in),GSFC04770,CIB,4H,25.0,AIR,5H,60.0,AIR,,,,,,,POTTING
ARALDITE 6005/906/064 AS 100/80/2 BW BROWN EPOXY,Adhesive,0.48,0,0.00,0.48,1995,Pass,GSFC22924,CIB,1H,100.0,AIR,1H,130.0,AIR,1H,160.0,AIR,,,,ADHESIVE
ARALDITE AV 138M/HV998 EPOXY A/B 10/4 BW,Epoxy,0.73,0,0.02,0.73,2010,Pass,GSFC32062,HNT,24H,25.0,AIR,,,,,,,,,,EPOXY
ARALDITE AV100/HV100 AS 1/1 BW EPOXY,Adhesive Potting,0.57,,0.15,0.57,1969,Rationale Code B (up to 0.25 sq-in),GSFC01123,CIB,3H,60.0,AIR,,,,,,,,,,ADH POTTING
ARALDITE AV100/HV100 AS 1/1 BW EPOXY,Adhesive Potting,0.78,,0.10,0.78,1969,Pass,GSFC01126,CIB,7D,25.0,AIR,,,,,,,,,,ADH POTTING
ARALDITE AV124/HV948 AS 1/1 BW EPOXY,Adhesive,3.01,,0.20,3.01,1972,Rationale Code B (up to 0.25 sq-in),GSFC04432,CIB,,,,,,,,,,,,,ADHESIVE
ARALDITE AV138/HY998 AS 100/40 BW EPOXY,Adhesive,0.97,0,0.05,0.97,1975,Pass,GSFC06899,CIB,7D,25.0,AIR,,,,,,,,,,ADHESIVE
ARALDITE AV138M/HV998 AS 100/40 BW GRAY EPOXY,Adhesive,0.68,0,0.03,0.68,1984,Pass,GSFC14202,CIB,,,,,,,,,,,,,ADHESIVE
ARALDITE AW 106,Adhesive,3.21,0,0.29,3.21,2004,Rationale Code B (up to 0.25 sq-in),GSFC28999,ZZZ,20H,50.0,AIR,,,,,,,,,,ADHESIVE
ARALDITE AW134B/HY994 AS 100/40 BW EPOXY,Potting,1.59,0,0.04,1.59,1975,Rationale Code A (up to 2 sq-in),GSFC07109,CIB,24H,25.0,AIR,,,,,,,,,,POTTING
ARALDITE AY 105-1/HARDENER HY 991,Adhesive,0.54,0,0.02,0.54,2011,Pass,GSFC32785,HNT,,,,,,,,,,,,,ADHESIVE
ARALDITE CY179/906/065/MS-XL EPOXY,Potting,0.16,,0.00,0.16,1972,Pass,GSFC04552,CIB,16H,93.0,AIR,,,,,,,,,,POTTING
ARALDITE CY236/HV988 AS 10/3 BW EPOXY,Potting,1.14,0,0.07,1.14,1978,Rationale Code A (up to 2 sq-in),GSFC09539,CIB,3H,70.0,AIR,,,,,,,,,,POTTING
ARALDITE GY6020/HY830 AS 100/56 BW,Adhesive,0.88,0,0.01,0.88,1986,Pass,GSFC15364,CIB,30D,25.0,AIR,,,,,,,,,,ADHESIVE
ARALDITE GY6020/HY830/DY025 AS 95/56/5 BW,Adhesive,1.40,0,0.01,1.40,1986,Rationale Code A (up to 2 sq-in),GSFC15366,CIB,30D,25.0,AIR,,,,,,,,,,ADHESIVE
ARALDITE MY750/HT972/MARBLE FLOUR AS 100/27/100 BW,Potting,0.26,0,0.01,0.26,1974,Pass,GSFC06050,CIB,3H,80.0,AIR,,,,,,,,,,POTTING
ARALDITE MY750/HY219/DY219/TEXOGLASS 480,Laminate,7.55,0,0.01,7.55,1976,Rationale Code B (up to 0.25 sq-in),GSFC07526,CIB,30H,25.0,AIR,,,,,,,,,,LAMINATE
ARALDITE MY750/HY974 AS 20/4.6 BW EPOXY,Adhesive Potting,0.19,,0.01,0.19,1969,Pass,GSFC01135,CIB,30H,60.0,AIR,,,,,,,,,,ADH POTTING
ARALDITE MY750/HY974 AS 20/4.6 BW EPOXY,Adhesive Potting,0.27,,0.03,0.27,1969,Pass,GSFC01138,CIB,45M,100.0,AIR,,,,,,,,,,ADH POTTING
ARATHANE (URALANE) 5750 WITH 2.5% CABOSIL (1/1 THIN/RESIN ),Conformal Coating,0.68,0,0.01,0.68,2004,Pass,GSFC28804,HUP,6H,65.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH 2.5% CABOSIL (1/1 THIN/RESIN ),Conformal Coating,0.78,0,0.02,0.78,2004,Pass,GSFC28807,HUP,7D,25.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH 2.5% CABOSIL (2.5/1 THIN/RESIN TS-60),Conformal Coating,0.86,0,0.00,0.86,2004,Pass,GSFC28747,HUP,6H,65.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH 2.5% CABOSIL (2.5/1 THIN/RESIN TS-60),Conformal Coating,1.07,0,0.00,1.07,2004,Rationale Code A (up to 2 sq-in),GSFC28756,HUP,7D,25.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH 2.5% CABOSIL (2/1 THIN/RESIN TS-65),Conformal Coating,1.27,0,0.02,1.27,2004,Rationale Code A (up to 2 sq-in),GSFC28765,HUP,7D,25.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH 2.5% CABOSIL (2/1 THIN/RESIN TS-65),Conformal Coating,0.75,0,0.00,0.75,2004,Pass,GSFC28768,HUP,6H,65.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH 6.3% CABOSIL,Conformal Coating,1.03,0,0.02,1.03,2004,Rationale Code A (up to 2 sq-in),GSFC28720,HUP,6H,65.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH 6.3% CABOSIL,Conformal Coating,0.61,0,0.01,0.61,2004,Pass,GSFC28723,HUP,90H,65.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH NO CABOSIL (1/1 THIN/RESIN TS-67),Conformal Coating,0.48,0,0.00,0.48,2004,Pass,GSFC28798,HUP,6H,65.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE (URALANE) 5750 WITH NO CABOSIL (1/1 THIN/RESIN TS-67),Conformal Coating,0.71,0,0.02,0.71,2004,Pass,GSFC28801,HUP,7D,25.0,AIR,,,,,,,,,,CONFORMAL COATING
ARATHANE 5750 (18/100 PBW +2.5% CAB-O-SIL THINNED 70/30 PBV TOUENEL),Conformal Coating,0.77,0,0.00,0.77,2010,Pass,GSFC31903,HEN,7D,25.0,AIR,,,,,,,,,,CONFORMAL COATING
